participant,trial,condition,prompt_type,prompt,typed,ms,wpm,cer,backspaces,repair_ms
Tiffany,1,OFF,HARD,mnemonic trick,mnemonic trick,6039,27.82,0.0,0,0
Tiffany,2,AUTO,HARD,chiaroscuro art,chiaroscuro art,6632,27.14,0.0,0,0
Tiffany,3,OFF,HARD,apocryphal tale,apocryphal tale,8352,21.55,0.0,0,0
Tiffany,4,OFF,HARD,mnemonic trick,mnemonic trick,5417,31.01,0.0,0,0
Tiffany,5,OFF,HARD,rhythmic sync,rhythmic sync,6733,23.17,0.0,1,1997
Tiffany,6,AUTO,HARD,hors d'oeuvre prep,hors d'oeuvre prep,10844,19.92,0.0,0,0
Tiffany,7,OFF,EASY,campus life,campus life,3065,43.07,0.0,0,0
Tiffany,8,AUTO,HARD,bricolage build,bricolage build,4164,43.23,0.0,0,0
Tiffany,9,AUTO,HARD,schadenfreude day,schadenfreude day ,11952,18.07,0.0588,3,3196
Tiffany,10,OFF,HARD,schadenfreude day,schadenfreude day,10342,19.73,0.0,0,0
Tiffany,11,AUTO,EASY,campus life,campus life,2961,44.57,0.0,0,0
Tiffany,12,AUTO,HARD,caesura line,caesura line,4059,35.48,0.0,0,0
Tiffany,13,OFF,EASY,project status,project status,3560,47.19,0.0,0,0
Tiffany,14,AUTO,EASY,project status,project status,5152,32.61,0.0,0,0
Tiffany,15,AUTO,HARD,coalesce soon,coalesce soon,5612,27.8,0.0,0,0
Tiffany,16,AUTO,EASY,great work,great work,3378,35.52,0.0,0,0
Tiffany,17,AUTO,EASY,clean data,clean data,2871,41.8,0.0,0,0
Tiffany,18,OFF,EASY,model check,model check,6174,21.38,0.0,3,1714
Tiffany,19,AUTO,EASY,campus life,campus life,4437,29.75,0.0,0,0
Tiffany,20,AUTO,EASY,good morning,good morning,4821,29.87,0.0,0,0
Tiffany,21,AUTO,EASY,data science,data science,3269,44.05,0.0,0,0
Tiffany,22,AUTO,HARD,afficionados meet,afficionados meet,5797,35.19,0.0,0,0
Tiffany,23,AUTO,EASY,great work,great work,2961,40.53,0.0,0,0
Tiffany,24,AUTO,EASY,good morning,good morning,3499,41.16,0.0,0,0
Tiffany,25,AUTO,HARD,rhythmic sync,rhythmic sync,6494,24.02,0.0,1,951
Tiffany,26,AUTO,HARD,aegis of order,aegis of order,5082,33.06,0.0,0,0
Tiffany,27,OFF,EASY,coffee time,coffee time,4261,30.98,0.0,1,2616
Tiffany,28,OFF,HARD,quixotic goal,quixotic goal,6095,25.59,0.0,0,0
Tiffany,29,OFF,EASY,the quick fox,the quick fox,4210,37.05,0.0,0,0
Tiffany,30,AUTO,HARD,chiaroscuro art,chiaroscuro art,8050,22.36,0.0,1,4640
Tiffany,31,OFF,EASY,happy path,happy path,2964,40.49,0.0,0,0
Tiffany,32,OFF,EASY,campus life,campus life,2901,45.51,0.0,0,0
Tiffany,33,OFF,EASY,model update,model update,3276,43.95,0.0,0,0
Tiffany,34,AUTO,EASY,fast typing,fast typing,2811,46.96,0.0,0,0
Tiffany,35,OFF,EASY,model check,model check,2644,49.93,0.0,0,0
Tiffany,36,OFF,EASY,happy path,happy path,2654,45.22,0.0,0,0
Tiffany,37,OFF,HARD,aegis of order,aegis of order,3842,43.73,0.0,0,0
Tiffany,38,OFF,HARD,caesura line,caesura line,5349,26.92,0.0,1,3073
Tiffany,39,AUTO,HARD,phlegmatic mood,phlegmatic mood,4925,36.55,0.0,0,0
Tiffany,40,OFF,HARD,coalesce soon,coalesce soon,5061,30.83,0.0,0,0
Tiffany,41,OFF,HARD,afficionados meet,afficionados meet,19680,10.37,0.0,2,9996
Tiffany,42,OFF,EASY,fast typing,fast typing,2815,46.9,0.0,0,0
Tiffany,43,OFF,EASY,duke pratt,duke pratt,2859,41.98,0.0,0,0
Tiffany,44,OFF,EASY,table chart,table chart,4092,32.26,0.0,0,0
Tiffany,45,OFF,HARD,hors d'oeuvre prep,hors d'oeuvre prep,11128,19.41,0.0,1,7144
Tiffany,46,AUTO,HARD,doppelganger spot,doppelganger spot,24127,8.46,0.0,14,15440
Tiffany,47,AUTO,EASY,happy path,happy path,3230,37.15,0.0,0,0
Tiffany,48,OFF,HARD,anemone bloom,anemone bloom,5181,30.11,0.0,0,0
Tiffany,49,OFF,HARD,doppelganger spot,doppelganger spot,8376,24.35,0.0,1,3551
Tiffany,50,OFF,EASY,happy path,happy path,3173,37.82,0.0,0,0
Tiffany,51,AUTO,EASY,clean data,clean data,2911,41.23,0.0,0,0
Tiffany,52,OFF,HARD,coalesce soon,coalesce soon,4678,33.35,0.0,0,0
Tiffany,53,OFF,EASY,final report,final report,2875,50.09,0.0,0,0
Tiffany,54,AUTO,HARD,caesura line,caesura line,4352,33.09,0.0,0,0
Tiffany,55,AUTO,HARD,bricolage build,bricolage build,4479,40.19,0.0,0,0
Tiffany,56,OFF,EASY,good morning,good morning,2982,48.3,0.0,0,0
Tiffany,57,OFF,EASY,write code,write code,2509,47.83,0.0,0,0
Tiffany,58,AUTO,EASY,happy path,happy path,2944,40.77,0.0,0,0
Tiffany,59,AUTO,EASY,data science,data science,3547,40.59,0.0,0,0
Tiffany,60,OFF,HARD,anemone bloom,anemone bloom,6070,25.7,0.0,0,0
Tiffany,61,AUTO,HARD,afficionados meet,afficionados meet,16147,12.63,0.0,1,4663
Tiffany,62,AUTO,HARD,lagniappe gift,lagniappe gift,7906,21.25,0.0,2,4151
Tiffany,63,AUTO,HARD,afficionados meet,afficionados meet,8741,23.34,0.0,0,0
Tiffany,64,OFF,HARD,chiaroscuro art,chiaroscuro art,7114,25.3,0.0,0,0
Tiffany,65,AUTO,EASY,typing study,typing study,3510,41.03,0.0,0,0
